City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Sobolevo,RU,61.25,clear sky,54.4299,31.8996,
141,Bayan,CN,73.56,few clouds,46.0833,127.4,Wanhao Inn
142,Sioux Lookout,CA,71.67,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
143,Wewak,PG,78.15,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
146,Elizabeth City,US,78.06,few clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
147,Konstantinovka,RU,76.17,broken clouds,49.6167,127.9833,
148,Stonewall,CA,75.7,scattered clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
150,Butaritari,KI,82.18,few clouds,3.0707,172.7902,Isles Sunset Lodge
151,Saint Anthony,US,78.1,mist,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
153,Ponta Do Sol,PT,81.23,clear sky,32.6667,-17.1,Hotel do Campo
154,Soeng Sang,TH,74.91,overcast clouds,14.4264,102.4606,ปาณิสรา รีสอร์ท
157,Tautira,PF,74.12,moderate rain,-17.7333,-149.15,Pension Oaoa
158,Portel,BR,80.89,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
159,Pisco,PE,64.45,mist,-13.7,-76.2167,Hotel San Isidro Oficial
161,Caravelas,BR,70.52,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
163,Urucara,BR,80.56,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
165,Suntar,RU,74.32,clear sky,62.1444,117.6319,Гостевая квартира
166,Marystown,CA,66.85,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
167,Santiago Del Estero,AR,83.35,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
168,Miandrivazo,MG,67.55,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
170,Hasaki,JP,81.0,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
171,Fethiye,TR,76.87,clear sky,36.6217,29.1164,Club & Hotel Letoonia
172,Ketchikan,US,73.87,clear sky,55.3422,-131.6461,Snow's Cove Lodge
175,Matara,LK,76.89,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
178,Huckelhoven,DE,64.9,scattered clouds,51.05,6.2167,Hotel Friends Hückelhoven
179,Kilindoni,TZ,75.67,broken clouds,-7.9139,39.6668,Bustani B&B
180,Bamiantong,CN,71.53,few clouds,44.9333,130.5333,Dehuiyuan Leisure Resort
181,Xinxiang,CN,75.38,clear sky,35.3089,113.8672,Guoyu Holiday Inn
182,Moosomin,CA,69.39,overcast clouds,50.1333,-101.6677,Motel 6
183,Kalmunai,LK,79.47,overcast clouds,7.4167,81.8167,VS Villa
184,Itaguai,BR,71.49,scattered clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
187,Ocumare Del Tuy,VE,81.81,clear sky,10.1165,-66.7761,HOSTAL EDDYS
188,Moose Factory,CA,64.4,clear sky,51.2585,-80.6094,Cree Village Eco Lodge
189,Wattegama,LK,75.69,overcast clouds,6.7989,81.4808,
192,Cockburn Town,TC,82.45,clear sky,21.4612,-71.1419,Osprey Beach Hotel
193,Torbay,CA,72.37,broken clouds,47.6666,-52.7314,Gallows Cove
195,Port Elizabeth,ZA,61.32,clear sky,-33.918,25.5701,39 On Nile Guest House
196,Namibe,AO,63.39,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
197,Touros,BR,75.83,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
198,Maua,BR,64.2,clear sky,-23.6678,-46.4614,Hotel Capriccio Mauá
199,Sembakung,ID,72.23,overcast clouds,3.8167,117.25,
201,Rocha,UY,61.38,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
202,Cayenne,GF,80.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
203,Tanete,ID,74.48,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
204,Ronda,ES,73.62,clear sky,36.7423,-5.1671,Hotel Maestranza
205,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
206,Coruripe,BR,73.78,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
211,Buala,SB,81.9,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
215,Grand Gaube,MU,68.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
216,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,Bungalow 63
217,Saskylakh,RU,69.84,scattered clouds,71.9167,114.0833,
218,Hutang,CN,77.13,scattered clouds,31.5333,119.4833,Dongyuan Restaurant
219,Pacific Grove,US,76.21,clear sky,36.6177,-121.9166,Lovers Point Inn
