City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Port-Gentil,GA,-0.7193,8.7815,74.19,82,76,15.5,broken clouds
80,Cape Town,ZA,-33.9258,18.4232,55.11,83,75,3.44,broken clouds
81,Leningradskiy,RU,69.3833,178.4167,34.45,96,100,7.54,overcast clouds
82,East London,ZA,-33.0153,27.9116,63.77,48,15,7.05,few clouds
83,Jiaozuo,CN,35.2397,113.2331,76.01,79,9,3.44,clear sky
84,Sambava,MG,-14.2667,50.1667,66.6,90,11,8.55,few clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,67,100,23.02,overcast clouds
86,Castro,BR,-24.7911,-50.0119,59.83,72,0,3.38,clear sky
87,New Norfolk,AU,-42.7826,147.0587,42.71,87,79,2.93,broken clouds
88,Kapaa,US,22.0752,-159.319,84.18,71,40,17.27,scattered clouds
89,Cidreira,BR,-30.1811,-50.2056,61.48,93,49,13.65,scattered clouds
90,Oyem,GA,1.5995,11.5793,66.72,98,93,2.28,overcast clouds
91,Guarapari,BR,-20.6667,-40.4975,69.85,86,52,6.04,broken clouds
92,Mehamn,NO,71.0357,27.8492,58.95,94,75,0.0,broken clouds
93,Hingoli,IN,19.7167,77.15,74.19,90,100,5.95,overcast clouds
94,Jalu,LY,29.0331,21.5482,84.67,39,5,15.75,clear sky
95,Rock Hill,US,34.9249,-81.0251,87.44,63,0,5.75,clear sky
96,Bluff,NZ,-46.6,168.3333,44.8,90,100,21.88,overcast clouds
97,Gat,IL,31.61,34.7642,80.4,56,0,3.31,clear sky
98,Qaanaaq,GL,77.484,-69.3632,43.84,65,19,4.45,few clouds
99,Laiyang,CN,36.9758,120.7136,73.22,93,87,6.55,overcast clouds
100,Filadelfia,US,39.9523,-75.1638,82.71,55,100,8.05,overcast clouds
101,Whitehaven,GB,54.549,-3.5841,55.65,83,71,1.01,broken clouds
102,Denpasar,ID,-8.65,115.2167,76.71,88,20,6.91,few clouds
103,Sao Filipe,CV,14.8961,-24.4956,77.85,83,91,2.44,overcast clouds
104,Atar,MR,20.5169,-13.0499,87.73,50,62,10.09,moderate rain
105,Tateyama,JP,34.9833,139.8667,79.11,89,76,12.91,broken clouds
106,Kango,GA,0.1943,10.0951,74.55,84,75,4.47,broken clouds
107,Fortuna,US,40.5982,-124.1573,71.92,68,36,4.0,scattered clouds
108,Akcaabat,TR,41.0212,39.5715,71.47,78,0,4.61,clear sky
109,Port Hardy,CA,50.6996,-127.4199,68.18,73,0,4.61,clear sky
110,Iqaluit,CA,63.7506,-68.5145,49.73,81,20,6.91,few clouds
111,Wadi Maliz,TN,36.4681,8.5495,91.06,33,0,0.56,clear sky
112,Richards Bay,ZA,-28.783,32.0377,56.39,84,0,7.92,clear sky
113,Lompoc,US,34.6391,-120.4579,86.14,67,0,14.97,clear sky
114,Verkhnyaya Inta,RU,65.9811,60.3094,48.31,84,100,13.09,overcast clouds
115,Katsuura,JP,35.1333,140.3,80.49,88,81,14.05,broken clouds
116,Methoni,GR,36.8197,21.7049,84.22,67,0,4.74,clear sky
117,Chalons-En-Champagne,FR,48.9539,4.3672,66.27,72,99,4.99,overcast clouds
118,Carnarvon,AU,-24.8667,113.6333,61.88,44,0,8.84,clear sky
119,Thompson,CA,55.7435,-97.8558,64.56,68,75,6.91,broken clouds
120,Chokurdakh,RU,70.6333,147.9167,50.83,51,87,12.08,overcast clouds
121,Georgetown,MY,5.4112,100.3354,80.89,91,20,2.3,thunderstorm
122,Kloulklubed,PW,7.0419,134.2556,73.9,70,100,3.98,overcast clouds
123,Tuatapere,NZ,-46.1333,167.6833,44.82,95,100,7.43,overcast clouds
124,Bilibino,RU,68.0546,166.4372,43.59,56,69,12.35,broken clouds
125,Selma,US,36.5708,-119.6121,101.64,31,0,4.61,clear sky
126,Narsaq,GL,60.9167,-46.05,57.42,86,39,4.16,scattered clouds
127,Lebu,CL,-37.6167,-73.65,52.21,81,3,16.22,clear sky
128,Klaksvik,FO,62.2266,-6.589,50.92,74,87,7.9,overcast clouds
129,Palmer,US,42.1584,-72.3287,81.25,50,75,10.36,broken clouds
130,Oussouye,SN,12.485,-16.5469,80.69,82,88,5.86,overcast clouds
131,Sobolevo,RU,54.4299,31.8996,61.25,89,4,1.81,clear sky
132,Provideniya,RU,64.3833,-173.3,48.36,71,0,11.18,clear sky
133,Kaitangata,NZ,-46.2817,169.8464,45.82,96,100,13.02,overcast clouds
134,Ardrishaig,GB,56.0157,-5.4481,50.11,94,47,2.8,scattered clouds
135,Kolvereid,NO,64.8655,11.6047,52.83,93,100,22.82,light rain
136,Anadyr,RU,64.75,177.4833,48.7,81,40,17.9,scattered clouds
137,Maniitsoq,GL,65.4167,-52.9,40.62,91,82,9.44,broken clouds
138,Gravdal,NO,68.1214,13.5031,51.69,100,75,11.5,broken clouds
139,Olafsvik,IS,64.8945,-23.7142,52.39,93,100,16.6,moderate rain
140,Bayangol,RU,50.6977,103.4656,41.92,93,99,3.0,overcast clouds
141,Bayan,CN,46.0833,127.4,73.56,92,15,3.98,few clouds
142,Sioux Lookout,CA,50.1001,-91.917,71.67,64,75,5.75,broken clouds
143,Wewak,PG,-3.5534,143.6268,78.15,87,93,8.01,overcast clouds
144,Portland,US,45.5234,-122.6762,100.92,33,0,9.22,clear sky
145,Pangnirtung,CA,66.1451,-65.7125,44.6,93,75,8.05,broken clouds
146,Elizabeth City,US,36.2946,-76.2511,78.06,94,20,3.44,few clouds
147,Konstantinovka,RU,49.6167,127.9833,76.17,67,67,4.43,broken clouds
148,Stonewall,CA,50.1344,-97.3268,75.7,57,25,14.52,scattered clouds
149,Codrington,AU,-38.2667,141.9667,50.83,94,83,9.19,broken clouds
150,Butaritari,KI,3.0707,172.7902,82.18,74,12,19.26,few clouds
151,Saint Anthony,US,45.0205,-93.218,78.1,82,100,6.91,mist
152,Airai,TL,-8.9266,125.4092,52.95,69,85,4.21,overcast clouds
153,Ponta Do Sol,PT,32.6667,-17.1,81.23,52,4,7.34,clear sky
154,Soeng Sang,TH,14.4264,102.4606,74.91,87,100,4.14,overcast clouds
155,Mount Isa,AU,-20.7333,139.5,53.37,40,0,5.75,clear sky
156,Byron Bay,AU,-28.65,153.6167,49.95,57,0,13.15,clear sky
157,Tautira,PF,-17.7333,-149.15,74.12,88,100,11.12,moderate rain
158,Portel,BR,-1.9356,-50.8211,80.89,72,60,2.19,broken clouds
159,Pisco,PE,-13.7,-76.2167,64.45,77,84,4.61,mist
160,Lavrentiya,RU,65.5833,-171.0,39.61,87,100,15.03,overcast clouds
161,Caravelas,BR,-17.7125,-39.2481,70.52,81,2,5.97,clear sky
162,Rosarito,MX,32.3333,-117.0333,88.63,68,71,10.0,broken clouds
163,Urucara,BR,-2.5364,-57.76,80.56,69,83,3.2,broken clouds
164,Longavi,CL,-35.9667,-71.6833,50.49,94,100,5.86,overcast clouds
165,Suntar,RU,62.1444,117.6319,74.32,74,1,4.07,clear sky
166,Marystown,CA,47.1666,-55.1483,66.85,100,100,3.0,overcast clouds
167,Santiago Del Estero,AR,-27.7951,-64.2615,83.35,44,74,5.68,broken clouds
168,Miandrivazo,MG,-19.5167,45.4667,67.55,78,0,3.6,clear sky
169,Port Hedland,AU,-20.3167,118.5667,55.45,58,14,8.05,few clouds
170,Hasaki,JP,35.7333,140.8333,81.0,87,91,16.04,overcast clouds
171,Fethiye,TR,36.6217,29.1164,76.87,35,0,6.78,clear sky
172,Ketchikan,US,55.3422,-131.6461,73.87,64,0,9.22,clear sky
